,Marcucci,LSC17,Ligene,Tobias,LSCR,Metzeler86,HSCR,Bullinger,, 
GSM159109,0,1,1,1,1,1,1,1,,
GSM159110,0,0,0,1,0,1,0,0,,
GSM159111,0,1,1,1,1,1,1,0,,
GSM159112,0,0,0,1,0,1,0,0,,
GSM159113,1,0,0,1,0,0,0,0,,
GSM159115,1,1,1,0,1,1,1,1,,
GSM159116,1,1,1,0,0,1,0,0,,
GSM159117,0,0,0,1,1,1,0,1,,
GSM159118,0,0,1,1,0,1,0,0,,
GSM159119,1,1,0,1,1,1,1,1,,
GSM159120,0,1,0,0,1,1,1,0,,
GSM159121,0,0,0,1,0,0,0,0,,
GSM159122,1,1,1,1,1,1,1,0,,
GSM159123,0,1,0,1,1,1,1,1,,
GSM159124,0,1,1,1,0,1,0,0,,
GSM159125,1,0,0,1,0,1,0,0,,
GSM159126,0,0,0,1,0,1,0,0,,
GSM159127,1,0,0,0,0,0,0,0,,
GSM159128,1,1,0,1,1,1,0,1,,
GSM159129,1,0,0,1,1,1,1,0,,
GSM159130,1,0,0,1,0,1,0,0,,
GSM159131,1,1,1,1,1,1,1,1,,
GSM159132,0,1,1,1,1,1,0,1,,
GSM159133,1,1,0,1,1,1,1,1,,
GSM159134,0,0,1,1,1,1,1,0,,
GSM159135,1,1,1,1,0,1,1,0,,
GSM159136,1,1,0,1,0,1,0,0,,
GSM159138,0,1,0,1,1,1,1,1,,
GSM159139,1,0,1,1,1,1,0,0,,
GSM159140,1,1,0,1,1,1,0,1,,
GSM159141,1,1,0,1,1,1,1,0,,
GSM159142,1,0,1,1,1,1,1,0,,
GSM159143,0,1,1,1,0,1,1,0,,
GSM159144,0,1,1,1,1,1,0,0,,
GSM159145,1,0,0,1,0,1,0,1,,
GSM159147,1,1,1,1,0,1,1,0,,
GSM159148,1,0,0,1,0,0,0,0,,
GSM159149,0,1,1,1,1,1,1,0,,
GSM159150,1,1,1,1,1,1,1,1,,
GSM159151,1,1,1,1,1,1,1,1,,
GSM159152,1,0,0,1,1,1,1,0,,
GSM159153,0,0,1,1,1,1,1,0,,
GSM159154,1,0,1,0,0,1,0,0,,
GSM159155,0,0,1,0,1,1,0,0,,
GSM159156,0,0,0,0,0,0,0,0,,
GSM159157,1,0,0,1,1,1,0,0,,
GSM159158,0,0,0,1,0,1,0,0,,
GSM159159,1,1,1,0,0,1,0,0,,
GSM159160,0,0,0,1,0,1,1,0,,
GSM159161,0,0,0,1,0,1,0,0,,
GSM159162,0,0,0,1,0,1,0,0,,
GSM159163,0,0,0,0,0,0,0,0,,
GSM159164,1,0,0,1,1,1,1,0,,
GSM159165,0,1,1,1,1,1,1,0,,
GSM159166,0,1,1,1,0,1,0,0,,
GSM159167,0,1,1,1,1,1,1,0,,
GSM159168,0,0,1,1,1,1,0,0,,
GSM159169,0,0,0,1,0,1,0,0,,
GSM159170,0,1,1,1,1,1,1,0,,
GSM159171,1,1,1,1,1,1,1,1,,
GSM768680,1,0,0,1,1,1,0,0,,
GSM768681,0,1,1,1,1,1,0,0,,
GSM768682,1,0,0,0,1,1,0,0,,
GSM768683,1,0,0,0,0,0,0,0,,
GSM768684,0,1,0,1,0,1,0,0,,
GSM768685,0,1,1,1,1,1,1,0,,
GSM768686,0,1,0,1,1,1,1,1,,
GSM768687,0,1,1,1,1,1,1,0,,
GSM768688,0,0,0,0,0,0,0,0,,
GSM768689,1,0,0,1,0,1,0,0,,
GSM768690,1,1,1,1,1,1,1,1,,
GSM768691,0,0,1,1,0,1,1,0,,
GSM768692,1,0,0,1,0,0,0,0,,
GSM768693,1,1,0,1,1,1,1,1,,
