"","Bullinger","HSCR","Ligene","LSC17","LSCR","Marcucci","Metzeler86"
"GSM159152","0","1","0","0","1","1","1"
"GSM159153","1","1","1","0","1","0","1"
"GSM159154","0","0","1","0","0","1","1"
"GSM159155","1","0","1","0","1","0","1"
"GSM159156","0","0","0","0","0","0","0"
"GSM159157","0","0","0","0","1","1","1"
"GSM159158","0","0","0","0","0","0","1"
"GSM159159","1","0","1","1","0","1","1"
"GSM159160","0","1","0","0","0","0","1"
"GSM159161","1","0","0","0","0","0","1"
"GSM159162","0","0","0","0","0","0","1"
"GSM159163","0","0","0","0","0","0","0"
"GSM159164","0","1","0","0","1","1","1"
"GSM159165","1","1","1","1","1","0","1"
"GSM159166","0","0","1","1","0","0","1"
"GSM159167","1","1","1","1","1","0","1"
"GSM159168","1","0","1","0","1","0","1"
"GSM159169","1","0","0","0","0","0","1"
"GSM159170","1","1","1","1","1","0","1"
"GSM159171","0","1","1","1","1","1","1"
"GSM768680","1","0","0","0","1","1","1"
"GSM768681","0","0","1","1","1","0","1"
"GSM768682","0","0","0","0","1","1","1"
"GSM768683","0","0","0","0","0","1","0"
"GSM768684","1","0","0","1","0","0","1"
"GSM768685","1","1","1","1","1","0","1"
"GSM768686","0","1","0","1","1","0","1"
"GSM768687","0","1","1","1","1","0","1"
"GSM768688","1","0","0","0","0","0","0"
"GSM768689","1","0","0","0","0","1","1"
"GSM768690","0","1","1","1","1","1","1"
"GSM768691","0","1","1","0","0","0","1"
"GSM768692","0","0","0","0","0","1","0"
"GSM768693","0","1","0","1","1","1","1"
"GSM768694","0","0","0","1","1","1","1"
"GSM768695","1","1","0","0","0","1","1"
"GSM768696","1","0","1","0","1","1","1"
"GSM768697","0","1","0","0","0","1","1"
"GSM768698","1","1","1","1","1","0","1"
"GSM768699","1","0","0","0","0","1","1"
"GSM768700","1","1","1","1","1","0","1"
"GSM768701","0","1","1","0","0","1","0"
"GSM768702","1","1","1","1","1","0","1"
"GSM768703","0","0","0","0","0","0","0"
"GSM768704","0","0","0","0","1","0","1"
"GSM768705","0","1","1","0","0","0","1"
"GSM768706","0","1","1","1","1","0","1"
"GSM768707","0","0","0","0","0","0","1"
"GSM768708","0","0","0","0","0","1","1"
"GSM768709","0","0","1","0","0","0","1"
"GSM768710","0","0","0","0","0","0","0"
"GSM768711","0","0","0","0","0","0","1"
"GSM768712","1","1","0","1","1","0","1"
