"","Bullinger","HSCR","Ligene","LSC17","LSCR","Marcucci","Metzeler86"
"GSM768684","1","2","2","1","2","2","1"
"GSM768685","1","1","1","1","1","2","1"
"GSM768686","2","1","2","1","1","2","1"
"GSM768687","1","1","1","1","1","2","1"
"GSM768688","1","2","2","2","2","2","2"
"GSM768689","1","2","2","2","2","1","1"
"GSM768690","2","1","1","1","1","1","1"
"GSM768691","1","1","1","2","2","2","1"
"GSM768692","2","2","2","2","2","1","2"
"GSM768693","2","1","2","1","1","1","1"
"GSM768694","2","2","2","1","1","1","1"
"GSM768695","1","1","2","2","2","1","1"
"GSM768696","1","2","1","2","1","1","1"
"GSM768697","2","1","2","2","2","1","1"
"GSM768698","1","1","1","1","1","2","1"
"GSM768699","1","2","2","2","2","1","1"
"GSM768700","1","1","1","1","1","2","1"
"GSM768701","2","1","1","2","2","1","2"
"GSM768702","1","1","1","1","1","2","1"
"GSM768703","1","2","2","2","2","2","2"
"GSM768704","2","2","2","2","1","2","1"
"GSM768705","1","1","1","2","2","2","1"
"GSM768706","1","1","1","1","1","2","1"
"GSM768707","1","2","2","2","2","2","1"
"GSM768708","2","2","2","2","2","1","1"
"GSM768709","1","2","1","2","2","2","1"
"GSM768710","2","2","2","2","2","2","2"
"GSM768711","2","2","2","2","2","2","1"
"GSM768712","1","1","2","1","1","2","1"
"GSM768713","1","2","1","2","2","2","1"
"GSM768714","1","2","1","2","1","1","1"
"GSM768715","1","2","1","2","2","2","1"
"GSM768716","1","1","1","1","1","2","1"
"GSM768717","2","1","1","1","1","1","1"
"GSM768718","2","1","2","1","1","1","1"
"GSM768719","1","1","1","2","2","2","1"
"GSM768720","1","1","2","1","1","2","1"
"GSM768721","1","1","2","1","1","1","1"
"GSM768722","1","2","2","2","2","2","1"
"GSM768723","1","2","1","2","1","2","1"
"GSM768724","2","2","2","2","2","1","1"
"GSM768727","1","2","2","2","2","2","2"
"GSM768734","1","2","2","2","2","1","1"
"GSM768735","2","1","2","2","2","2","1"
"GSM768738","2","1","1","1","1","1","1"
"GSM768739","1","1","2","1","1","2","1"
"GSM768740","2","2","2","2","2","1","2"
"GSM768742","2","2","2","1","1","1","1"
"GSM768743","2","1","1","1","1","1","1"
"GSM768744","2","1","2","2","2","2","2"
"GSM768745","1","1","1","2","2","2","1"
"GSM768746","1","1","1","1","1","1","1"
"GSM768747","1","2","2","1","2","1","1"
"GSM768748","1","2","1","2","1","2","1"
"GSM768749","2","1","2","1","1","1","1"
"GSM768751","2","2","1","2","2","1","1"
"GSM768752","2","2","1","2","1","1","1"
"GSM768753","2","2","1","2","2","2","2"
"GSM768754","1","1","2","1","1","2","1"
